Reference,Value,Qty,Description_1,DNP,Exclude from BOM,Exclude from Board
C3,10uF,1,,,,
C4,22uF,1,,,,
C5,100nF,1,,,,
C6,C_Polarized 10uF,1,,,,
C7,22pF,1,,,,
C8,22pF,1,,,,
C9,22pF,1,,,,
C10,22pF,1,,,,
C11,100nF,1,,,,
C12,100uF,1,,,,
C13,1000uF,1,,,,
C14,22pF,1,,,,
C16,135uF,1,,,,
C17,135uF,1,,,,
C18,47uF,1,,,,
C19,47uF,1,,,,
D1,LED,1,,,,
D2,LED,1,,,,
D3,LED,1,,,,
D4,1N4004,1,,,,
D5,1N4004,1,,,,
D6,1N4004,1,,,,
D7,1N4004,1,,,,
D8,1N5822,1,,,,
D18,1N5338BG,1,Diode Zener Single 5.1V 5% 5W 2-Pin Case 017AA-01 Bulk,,,
D19,1N5338BG,1,Diode Zener Single 5.1V 5% 5W 2-Pin Case 017AA-01 Bulk,,,
D22,1N4004,1,,,,
D23,1N4004,1,,,,
J2,USB_B,1,,,,
J3,Screw_Terminal_01x02,1,,,,
J4,Screw_Terminal_01x02,1,,,,
JP1,Jumper_3_Open,1,,,Excluded from BOM,
K1,SRD-05VDC-SL-C,1,5V Trigger Relay Module For Arduino And Raspberry Pi 5V Trigger Relay Module For Arduino And Raspberry Pi,,,
K2,SRD-05VDC-SL-C,1,5V Trigger Relay Module For Arduino And Raspberry Pi 5V Trigger Relay Module For Arduino And Raspberry Pi,,,
K3,SRD-05VDC-SL-C,1,5V Trigger Relay Module For Arduino And Raspberry Pi 5V Trigger Relay Module For Arduino And Raspberry Pi,,,
K4,SRD-05VDC-SL-C,1,5V Trigger Relay Module For Arduino And Raspberry Pi 5V Trigger Relay Module For Arduino And Raspberry Pi,,,
L1,100uH,1,,,,
L2,2.78mH,1,,,,
Q1,BC547,1,,,,
Q2,IRLZ44N,1,,,,
Q3,BC547,1,,,,
Q4,IRLZ44N,1,,,,
Q5,BC547,1,,,,
Q6,IRLZ44N,1,,,,
Q7,BC547,1,,,,
Q10,IRLZ44N,1,,,,
Q27,IRLZ44N,1,,,,
Q28,IRLZ44N,1,,,,
Q32,IRLZ44N,1,,,,
Q33,IRLZ44N,1,,,,
Q34,IRLZ44N,1,,,,
Q35,IRLZ44N,1,,,,
Q36,IRLZ44N,1,,,,
R1,0.25,1,,,,
R2,3.15,1,,,,
R3,1K,1,,,,
R4,1K,1,,,,
R5,1K,1,,,,
R6,1K,1,,,,
R7,1K,1,,,,
R8,1M,1,,,,
R9,220,1,,,,
R10,220,1,,,,
R11,10K,1,,,,
R12,220,1,,,,
R13,220,1,,,,
R14,10K,1,,,,
R15,220,1,,,,
R16,220,1,,,,
R39,100K,1,,,,
R40,10K,1,,,,
R41,100K,1,,,,
R42,10K,1,,,,
R47,47,1,,,,
R48,220,1,,,,
R49,220,1,,,,
R50,220,1,,,,
R51,220,1,,,,
U2,LT1083-ADJ,1,,,,
U3,ATmega328P-P,1,,,,
U4,CH340G,1,,,,
U5,LCD-16X2,1,,,,
U6,LM2576HVT-5.0,1,,,,
U8,IR2104,1,,,,
U9,IR2104,1,,,,
Y1,16MHz,1,,,,
Y2,12MHz,1,,,,
